formula,reduced_formula,solubility_0C,solubility_10C,solubility_20C,solubility_25C,solubility_30C,solubility_40C,solubility_50C,solubility_60C,solubility_70C,solubility_80C,solubility_90C,solubility_100C
Ca(ClO4)2,Ca(ClO4)2,,,,1.882e+02,,,,,,,,
Ca(IO3)2,Ca(IO3)2,8.000e-02,1.600e-01,2.400e-01,3.100e-01,3.900e-01,5.200e-01,5.900e-01,6.600e-01,8.200e-01,6.700e-01,6.700e-01,
Ca(IO3)2(H2O)6,CaH12(IO6)2,,,,2.799e-01,,,,,,,,
Ca(NO2)2,Ca(NO2)2,6.287e+01,6.529e+01,8.018e+01,9.455e+01,,,,,,,,
Ca(NO3)2,Ca(NO3)2,1.004e+02,1.132e+02,1.309e+02,1.439e+02,1.558e+02,1.890e+02,3.504e+02,3.566e+02,3.587e+02,3.608e+02,3.630e+02,3.651e+02
Ca(OH)2,Ca(HO)2,,,,7.992e-02,,,,,,,,
Ca3(PO4)2,Ca3(PO4)2,,,,3.533e-06,,,,,,,,
CaBr2,CaBr2,1.222e+02,1.273e+02,1.439e+02,1.564e+02,1.703e+02,2.125e+02,2.448e+02,2.704e+02,,,,
CaC2O4(H2O),CaH2C2O5,,,,1.219e-02,,,,,,,,
CaCO3,CaCO3,,,,9.444e-03,,,,,,,,
CaCl2,CaCl2,5.798e+01,6.445e+01,7.280e+01,8.126e+01,9.654e+01,1.121e+02,1.275e+02,1.311e+02,1.350e+02,1.393e+02,1.441e+02,1.496e+02
CaF2,CaF2,0.000e+00,,,0.000e+00,,,,,,,,
CaI2,CaI2,1.825e+02,1.941e+02,2.086e+02,2.155e+02,2.226e+02,2.425e+02,2.623e+02,2.846e+02,3.167e+02,3.546e+02,3.902e+02,4.263e+02
CaMoO4,CaMoO4,,,,3.080e-02,,,,,,,,
CaSO3,CaSO3,,,1.000e-02,1.000e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
CaSO4,CaSO4,1.700e-01,1.900e-01,2.000e-01,2.100e-01,2.100e-01,2.100e-01,2.100e-01,2.000e-01,1.900e-01,1.800e-01,1.700e-01,1.600e-01
CaSO4(H2O)2,CaH4SO6,,,,3.422e-01,,,,,,,,
Cd(ClO4)2,Cd(ClO4)2,,,,1.421e+02,,,,,,,,2.021e+02
Cd(IO3)2,Cd(IO3)2,,,,9.000e-02,,,,,,,,
Cd(NO3)2,Cd(NO3)2,1.242e+02,1.331e+02,1.475e+02,1.564e+02,1.688e+02,1.985e+02,2.401e+02,6.194e+02,6.407e+02,6.576e+02,6.752e+02,6.936e+02
Cd(OH)2,Cd(HO)2,,,,1.781e-04,,,,,,,,
Cd3(AsO4)2,Cd3(AsO4)2,,,,7.091e-06,,,,,,,,
Cd3(PO4)2,Cd3(PO4)2,,,,6.250e-06,,,,,,,,
CdBr2,CdBr2,5.625e+01,7.544e+01,9.960e+01,1.146e+02,1.294e+02,1.519e+02,1.519e+02,1.532e+02,1.544e+02,1.558e+02,1.584e+02,1.604e+02
CdC2O4,Cd(CO2)2,,,,1.000e-02,,,,,,,,
CdC2O4(H2O)3,CdH6C2O7,,,,3.882e-02,,,,,,,,
CdCO3,CdCO3,,,,1.086e-03,,,,,,,,
CdCl2,CdCl2,8.939e+01,1.004e+02,1.137e+02,1.203e+02,1.288e+02,1.342e+02,1.353e+02,1.370e+02,1.387e+02,1.410e+02,1.438e+02,1.469e+02
CdF2,CdF2,,6.180e+00,4.880e+00,4.360e+00,3.910e+00,,,,,,,
CdI2,CdI2,7.889e+01,8.149e+01,8.450e+01,8.622e+01,8.797e+01,9.194e+01,9.608e+01,1.008e+02,1.062e+02,1.114e+02,1.179e+02,1.242e+02
CdSO4,CdSO4,7.575e+01,7.575e+01,7.606e+01,7.668e+01,7.730e+01,7.889e+01,7.699e+01,7.391e+01,7.065e+01,6.722e+01,6.260e+01,5.798e+01
CdSeO4,CdSeO4,7.253e+01,6.832e+01,6.399e+01,6.176e+01,5.946e+01,5.468e+01,4.959e+01,4.420e+01,3.858e+01,3.278e+01,2.697e+01,2.120e+01
