formula,reduced_formula,solubility_0C,solubility_10C,solubility_20C,solubility_25C,solubility_30C,solubility_40C,solubility_50C,solubility_60C,solubility_70C,solubility_80C,solubility_90C,solubility_100C
Cs2SO4,Cs2SO4,167.3797,173.224,178.5515,181.6901,184.0909,189.8551,194.9853,200.3003,205.8104,210.559,215.4574,220.5128
CuBr2,CuBr2,,,,126.2443,,,,,,,,
CuCl2,CuCl2,68.9189,71.5266,74.216,75.7469,77.6199,81.1594,85.1852,89.3939,94.1748,99.6008,105.3388,111.4165
Cu(ClO4)2,Cu(ClO4)2,118.8184,,,,145.7002,,,,,,,
CuF2,CuF2,,,,0.0751,,,,,,,,
Cu(NO3)2,Cu(NO3)2,82.4818,99.2032,128.833,145.098,157.0694,163.1579,171.0027,181.6901,193.2551,207.6923,224.6753,244.8276
CuSO4,CuSO4,14.1553,16.8224,20.048,21.9512,23.9157,28.5347,34.0483,40.4494,47.929,56.9859,67.5042,76.9912
CuSeO4,CuSeO4,11.8568,,,19.0476,,,,,,,,
Dy(NO3)3,Dy(NO3)3,142.6595,149.9375,159.6728,165.6042,172.4053,189.2682,212.8911,251.8649,,,,
Er(NO3)3,Er(NO3)3,160.2811,171.3704,184.4141,191.9708,200.2101,219.4888,244.3526,279.3627,349.4382,,,
Eu(NO3)3,Eu(NO3)3,123.2143,130.9469,140.9639,146.3054,152.5253,166.6667,182.4859,,,,,
FeBr2,FeBr2,,,,120.2643,,,,,,,,184.0909
FeCl2,FeCl2,49.7006,,,65.0165,,,,,,,,94.9318
FeCl3,FeCl3,74.5201,81.4882,91.9386,91.2046,106.6116,296.8254,329.1845,549.3506,536.9427,536.9427,541.0256,553.5948
Fe(ClO4)2,Fe(ClO4)2,173.1494,,,210.1737,,,,,,,,
FeF3,FeF3,,,,5.921,,,,,,,,
Fe(NO3)3,Fe(NO3)3,67.0844,,,87.1608,,,,,,,,
Fe(NO3)2,Fe(NO3)2,70.765,,,87.5117,,,,,,,,
FeSO4,FeSO4,15.6069,20.4819,26.2626,29.5337,32.9787,40.4494,48.8095,55.0388,50.6024,43.6782,37.1742,31.5789
Gd(NO3)3,Gd(NO3)3,128.833,136.4066,145.098,150.6266,156.4103,169.5418,187.3563,211.5265,250.8772,,,
HIO3,HIO3,276.6478,286.1004,299.6803,307.8303,317.1882,338.5965,364.2526,394.5598,429.9417,470.7763,518.047,572.9475
H3BO3,B(HO)3,2.6799,3.7022,5.0089,5.7977,6.6894,8.8139,11.4827,14.8106,18.9061,23.9157,30.039,37.5516
HgBr2,HgBr2,0.2607,0.3714,0.5227,0.6137,0.7252,0.9693,1.2761,1.657,2.1242,2.6799,3.3378,4.1124
Hg(CN)2,Hg(CN)2,7.032,8.4952,10.2901,11.3586,12.4859,15.0748,18.3432,22.2494,26.9036,32.626,39.47,47.7105
HgCl2,HgCl2,4.4277,5.3186,6.5757,7.3077,8.2485,10.5339,13.6622,17.8967,23.7011,31.6829,42.6534,57.7785
HgI2,HgI2,,,0.0041,0.0055,0.0072,0.0122,0.0199,,,,,
Hg(SCN)2,HgC2(SN)2,,,,0.07,,,,,,,,
Hg2Cl2,HgCl,,,,0.0004,,,,,,,,
Hg2(ClO4)2,HgClO4,281.6794,,,395.0495,,,,,,,,580.2721
Hg2SO4,Hg2SO4,0.038,0.043,0.048,0.051,0.054,0.059,0.065,0.07,0.0761,0.0821,0.0881,0.0931
Ho(NO3)3,Ho(NO3)3,,,,176.2431,,,,,,,,
KBF4,KBF4,0.2808,0.3412,0.452,0.553,0.7557,1.3993,2.1346,2.9018,3.7129,4.5369,5.3963,6.2699
KBr,KBr,53.8462,59.4896,65.0165,67.7852,70.6485,76.0563,81.1594,85.8736,90.8397,95.3125,99.2032,103.252
KBrO3,KBrO3,3.0609,4.6901,6.8604,8.1666,9.6371,13.0838,17.247,22.1598,27.8609,34.3544,41.6832,49.8801
KC2H3O2,KH3(CO)2,216.4557,236.587,258.2945,269.2762,280.2281,301.2841,321.4075,340.7228,359.1368,377.0992,395.0495,414.1388
KCl,KCl,27.7792,30.9072,34.0303,35.5381,37.0614,40.0364,42.9388,45.7726,48.5001,51.1944,53.8225,56.3722
KClO3,KClO3,3.1247,4.8988,7.2271,8.613,10.1443,13.7139,18.008,23.1224,29.2825,36.7615,46.0494,57.8532
KClO4,KClO4,0.7049,1.1122,1.6984,2.0825,2.5326,3.6699,5.1967,7.2271,9.878,13.2631,17.5641,22.9559
KF,KF,44.7178,66.113,89.7533,101.6536,113.6752,,,,,150.0,,
KHCO3,KHCO3,22.8803,27.7629,33.1913,36.2398,39.1401,45.6028,52.5786,60.0256,67.9261,,,
KHSO4,KHSO4,37.1742,42.2475,47.7105,50.6024,53.8462,60.7717,68.0672,76.6784,85.8736,96.1554,107.555,120.2643
KH2PO4,KP(HO2)2,13.3016,17.5226,22.3242,24.9531,27.8282,33.833,40.746,48.721,58.1028,69.3767,83.1837,100.4812
KI,KI,127.2727,135.8491,143.9024,148.139,152.5253,160.4167,168.8172,176.2431,184.0909,191.5452,199.4012,206.7485
KIO3,KIO3,4.7449,6.3377,8.19,9.218,10.3022,12.4733,15.2339,18.0498,21.08,24.3472,27.8445,31.6309
KIO4,KIO4,0.1603,0.2205,0.3714,0.5126,0.7049,1.2556,1.9992,2.9124,3.9717,5.1414,6.4056,7.7238
KMnO4,KMnO4,2.8172,4.297,6.3377,7.5963,9.0275,12.4986,16.8497,22.1896,,,,
KNO2,KNO2,280.2281,293.7008,304.8583,311.5226,316.6667,329.1845,342.4779,354.5455,365.1163,378.4689,390.1961,402.5126
KNO3,KNO3,13.6364,21.3592,31.9261,38.3126,45.5604,62.8664,84.1621,109.205,138.0952,170.2703,205.8104,242.4658
KOH,KHO,94.9318,103.252,113.6752,120.7506,127.7904,137.5297,141.5459,146.9136,153.8071,161.7801,171.0027,182.4859
KSCN,KCSN,176.2431,197.619,223.6246,237.8378,252.1127,286.1004,325.5319,373.9336,429.1005,498.8024,580.2721,687.4016
K2CO3,K2CO3,105.3388,107.0393,109.6436,111.4165,113.2196,117.3913,121.7295,127.2727,133.6449,140.3846,147.5248,156.4103
K2CrO4,K2CrO4,58.9825,61.5509,63.6661,65.0165,66.113,68.0672,70.3578,72.117,74.216,76.0563,77.9359,79.5332
K2Cr2O7,K2Cr2O7,4.4932,7.6658,12.2334,15.0748,18.3432,26.2626,35.6852,46.4129,58.4786,70.9402,83.4862,95.6947
K2HAsO4,K2AsHO4,94.1748,,,174.7253,,,,,,,,395.0495
K2HPO4,K2PHO4,132.5581,144.4988,159.7403,168.0965,178.5515,209.5975,,266.3004,,,,
K2MoO4,K2MoO4,,,,183.2861,,,,,,,198.5075,
K2SO3,K2SO3,105.3388,105.719,106.1431,106.3983,106.697,107.2968,108.03,108.8119,109.7315,110.7038,111.8195,113.0379
K2SO4,K2SO4,7.6542,9.2419,11.0494,11.9821,12.8668,14.8106,16.5501,18.3432,20.048,21.5067,22.8501,23.9157
K2S2O3,K2S2O3,96.0784,,,165.252,,,,,,,311.5226,
K2S2O5,K2S2O5,28.3697,36.4256,45.1379,49.4768,54.321,63.9344,74.216,85.1852,96.4637,108.3333,120.2643,
K2SeO3,K2SeO3,216.4557,,,217.4603,,,,,,,,217.4603
K2SeO4,K2SeO4,111.4165,112.4495,113.5383,114.1328,114.7305,115.9827,117.3441,118.8184,120.3128,121.9263,123.5136,125.2252
K3AsO4,K3AsO4,106.1856,,,125.2252,,,,,,,,270.3704
K3Fe(CN)6,K3Fe(CN)6,31.406,38.1215,45.1379,48.8095,52.207,59.2357,65.5629,71.5266,76.9912,81.8182,85.5288,88.6792
K3PO4,K3PO4,79.5332,,,105.7613,,,,,,,,
K4Fe(CN)6,K4Fe(CN)6,14.2857,20.919,28.2051,31.406,34.4086,41.2429,48.1481,55.0388,61.8123,68.3502,70.6485,75.7469
LaCl3,LaCl3,96.0784,94.1748,94.5525,95.6947,97.2387,102.0202,108.7683,117.3913,128.833,143.309,161.0966,
La(NO3)3,La(NO3)3,122.2222,132.0186,143.309,150.0,157.0694,174.7253,196.7359,232.2259,286.1004,,,
